Record number,Call number,Title,Published,Description,Note,Summary,Reproduction note,biographical or historical note,Ownership and custodial history,Subject - name,Subject - topical ,Link
.b18081587,BA1011/472,Portrait of S. Stevens,1914-1918.,1 photonegative :,,"S. Stevens is standing, wearing a Field Service cap and badges, and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box 105 (S).,"Stevens, S.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,472PD.jpg"
.b18081733,BA1011/261,Portrait of Private J. Finn,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"Private Finn is standing, wearing a slouch hat and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Finn, J.",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,261PD.jpg"
.b18081757,BA1011/262,Portrait of R.J. Fraser,1914-1918.,1 negative :,Title provided by photographer.;This image has been preserved and made available by the Historical Records Rescue Consortium Project supported by Lotterywest.,"R.J. Fraser is standing, wearing a Field Service cap, badges and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,,"Fraser, R. J.",Soldiers;Military uniforms;Portraits;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,262PD.jpg"
.b18081861,BA1011/444,Portrait of Private Syd Hardy,1915,1 photonegative :,Dated 22 October 1915.,"Private Hardy is standing, wearing a Field Service cap, badges and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 141 (S).,"Hardy, Syd",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,444PD.jpg"
.b18081903,BA1011/445,"Portrait of H. Hurley, Signaller",1914-1918.,1 photonegative :,,"Waist length portrait of Hurley, wearing a Field Service cap and badges.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 141 (S).,"Hurley, H.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,445PD.jpg"
.b18081939,BA1011/446,"Portrait of H.R. Hamley, Signaller",1914-1918.,1 photonegative :,,"Waist length portrait of Hamley, wearing a Field Service cap and badges. 28th Infantry on epaulette.;Adopted by Ms Julie Billing.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 141 (S).,"Hamley, H. R.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,446PD.jpg"
.b18081964,BA1011/447,"Portrait of W.S. Henrys, Medical",1914-1918.,1 photonegative :,,"W.S. Henrys, medical corps, is sitting, wearing a slouch hat and leggings.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 141 (S).,"Henrys, W. S.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,447PD.jpg"
.b18081976,BA1011/448,Portrait of Hogan,1914-1918.,1 photonegative :,,"Hogan is sitting, wearing a slouch hat and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 141 (S).,Hogan,Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,448PD.jpg"
.b18081988,BA1011/449,Portrait of A. Hogan,1914-1918.,1 photonegative :,,"A. Hogan is sitting, wearing a Field Service cap and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 141 (S).,"Hogan, A.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,449PD.jpg"
.b1808199x,BA1011/450,Portrait of E. Hewett,1914-1918.,1 photonegative :,,"E. Hewett is standing, wearing a Field Service cap and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 141 (S).,"Hewett, E.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,450PD.jpg"
.b18082014,BA1011/451,Portrait of J. Hern,1914-1918.,1 photonegative :,,"J. Hern, of the 10th Australian Light Horse. is standing, wearing a slouch hat and plumes, badges, leggings, spurs and riding crop.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 141 (S).,"Hern, J.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,451PD.jpg"
.b18082026,BA1011/452,Portrait of H. Hatton,1914-1918.,1 photonegative :,,"H. Hatton is standing, wearing Field Service cap and puttees. Lanyard on right shoulder.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 141 (S).,"Hatton, Herbert Sydney,",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,452PD.jpg"
.b18082051,BA1011/453,Portrait of Harry Holder,1914-1918.,1 photonegative :,,"Harry Holder is standing, wearing slouch hat (side turned down) and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 141 (S).,"Holder, Harry",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,453PD.jpg"
.b18082099,BA1011/454,Portrait of Private A.L. Holmes,1914-1918.,1 photonegative :,,Head and shoulders portrait of Private A.L. Holmes wearing badges and lanyard.,"This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 141 (S).,"Holmes, A. L.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,454PD.jpg"
.b18082117,BA1011/455,Portrait of Trooper G. Hendry,1914-1918.,1 photonegative :,,"Trooper G. Hendry, of the 10th Australian Light Horse, is standing, wearing a slouch hat and plumes, badges, leggings, spurs and riding crop.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 141 (S).,"Hendry, G.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,455PD.jpg"
.b18082129,BA1011/456,"Portrait of Holmes, Medical",1914-1918.,1 photonegative :,,"Holmes, medical corps, is sitting, wearing Field Service cap, leggings and riding crop.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 141 (S).,"Holmes,",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,456PD.jpg"
.b18087012,BA1011/486,Portrait of M. Hancock,1914-1918.,1 photonegative :,,"Hancock is sitting, wearing Field Service cap, badges and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 71 (S).,"Hancock, M.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,486PD.jpg"
.b18087036,BA1011/487,Portrait of Holland,1914-1918.,1 photonegative :,,"Waist length portrait of Holland, wearing a lanyard.;Adopted by Ken Finch.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 71 (S).,Holland,Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,487PD.jpg"
.b18087048,BA1011/488,Portrait of P. Hughan,1914-1918.,1 photonegative :,,"Hughan is sitting, wearing a Field Service cap, badge, collar badges, puttees and holding a cane.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 71 (S).,"Hughan, P.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,488PD.jpg"
.b1808705x,BA1011/489,Portrait of C. Hunter,1914-1918.,1 photonegative :,,"Hunter is sitting, wearing a Field Service cap and puttees.;C. Hunter of 11th Battalion no. 6060.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 71 (S).,"Hunter, Charles",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,489PD.jpg"
.b18087061,BA1011/490,Portrait of C. Hunter,1914-1918.,1 photonegative :,,"Hunter is sitting, wearing a Field Service cap and puttees.;C. Hunter of 11th Battalion no. 6060.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 71 (S).,"Hunter, Charles",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,490PD.jpg"
.b18087085,BA1011/491,Portrait of Pat Holden,1914-1918.,1 photonegative :,,"Holden is standing, wearing a Field Service cap, badge, collar badges and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 71 (S).,"Holden, P.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,491PD.jpg"
.b18087103,BA1011/492,Portrait of T.G. Holdsworth,1914-1918.,1 photonegative :,,"Holdsworth is standing, wearing a Field Service cap, badge, collar badges, stick, lanyard and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 71 (S).,"Holdsworth, T. G.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,492PD.jpg"
.b18087140,BA1011/493,Portrait of T.G. Holdsworth,1914-1918.,1 photonegative :,,"Holdsworth is sitting, wearing collar badges, stick and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 71 (S).,"Holdsworth, T. G.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,493PD.jpg"
.b18087152,BA1011/494,Portrait of S. Hastings,1914-1918.,1 photonegative :,,"Hastings is sitting, wearing Field Service cap, badge, wrist watch and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 71 (S).,"Hastings, S.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,494PD.jpg"
.b18087176,BA1011/495,Portrait of P. Hughan,1914-1918.,1 photonegative :,,"Hughan is standing, wearing Field Service cap, badge, collar badges, stick and puttees.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 71 (S).,"Hughan, P.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,495PD.jpg"
.b18087188,BA1011/496,Portrait of W.I. Hamilton,1914-1918.,1 photonegative :,,"Waist length portrait of Hamilton, wearing collar badges.","This image is for personal use only.  To publish or display it, contact the State Library of Western Australia.",Professional portrait.,Negative plate box: 71 (S).,"Hamilton, W. I.",Soldiers;Online image.,"http://www.slwa.wa.gov.au/images/pd108/108,496PD.jpg"
