Bibliographic record number,Collection number,Creator,Title,Date of creation,Description,Notes,Summary,Subject: Personal,Subject: Topical,Subject: Geographical,Captions for URLs,URLs
b19042802,BA807,,Embroidered postcard sent by Scotty F. Watson of the 12th Field Coy Australian Engineers in France to Miss D.E. Pellew in Southern Cross.,1916-1918.,"1 postcard, embroidered :",,Made in France.;Scotty F. Watson has not been identified. Scotty is probably a nickname.;Formerly PR3885/8.,"Watson, Scotty F.;Pellew, D.E.,","Soldiers;World War, 1914-1918",,"BA807: Front: Embroidered postcard sent by Scotty F. Watson of the 12th Field Coy Australian Engineers in France to Miss D.E. Pellew in Southern Cross, 1916-1918;BA807: Back: Embroidered postcard sent by Scotty F. Watson of the 12th Field Coy Australian Engineers in France to Miss D.E. Pellew in Southern Cross, 1916-1918",http://purl.slwa.wa.gov.au/slwa_b1904280_3;http://purl.slwa.wa.gov.au/slwa_b1904280_4;http://purl.slwa.wa.gov.au/slwa_b1904280_3.png;http://purl.slwa.wa.gov.au/slwa_b1904280_4.png
b19054269,BA982,"Lambert, Reg A.",Panorama of the inspection of the troops,ca. 1918.,"1 photographic print, mounted  (panorama) :",,,,"Military ceremonies, honors, and salutes;Soldiers",,"BA982: Panorama of the inspection of the troops, ca. 1918?",http://purl.slwa.wa.gov.au/slwa_b1905426_2;http://purl.slwa.wa.gov.au/slwa_b1905426_2.png
b19141701,5180B,"Thelma Studio, Perth,",Australia will be there.,approximately 1914.,1 postcard :,,Photograph printed on postcard stationery as a propaganda postcard promoting Australia's involvement in World War 1.,,"World War, 1914-1918;Online image.",,"5180B: Australia will be there. Propaganda postcard for WWI, ca.1914",http://purl.slwa.wa.gov.au/slwa_b1914170_1;http://purl.slwa.wa.gov.au/slwa_b1914170_1.png
b19149189,,,Memory on our captivity,[between 1918 and 1939],1 ms. map :,"Shows internee camp near Thomson Bay with buildings, sports fields, etc named.;No date given but believed to be post World War 1914-1918 origin.;Digitised as part of the World War I Centenary Project.",Battye accession number 010781.,,"Prisoners of war;World War, 1914-1918",Rottnest Island (W.A.),Memory on our captivity,http://purl.slwa.wa.gov.au/slwa_b1914918_2;http://purl.slwa.wa.gov.au/slwa_b1914918_2.png
b19243571,PR8679/BRI/57,,Roll of Honour :,[19--],1 item.,,"List of those killed in action in the World War, 1914-1918 from the Bridgetown district.;Formerly PR2201.",,"World War, 1914-1918;Soldiers",,Bridgetown Roll of Honour,http://purl.slwa.wa.gov.au/slwa_b1924357_2;http://purl.slwa.wa.gov.au/slwa_b1924357_2.png
b19341234,291B,"Illustrations Ltd,","Senior officers present at a luncheon to Field Marshall Sir William Birdwood by the Executive of the R.S. League, Perth W.A., August 1932.",1932,"1 photograph, mounted :",Title from caption printed on mount.,"Caption under photograph: Top: Lt. Col. T. Flintoff, V.D.; Col. H. Pope, C.B. - V.D.; Lt. Col. E.J.H. Nicholson, G.M.G. - D.S.O. - V.D.(f); Col. A.C.N. Olden; Lt. Col. E.I. Margolin, D.S.O. Middle: Lt. Col. S.R. Roberts, D.S.O. - V.D.; Lt. Col. A.R.L. Wiltshire, C.M.G. - D.S.O. - M.C. - V.D.; Pt. J.P. Wood, V.C.; L/Cpl. T.L. Axford, V.C.; Lt. Col. R.P. Fitzgerald D.S.O.; Col. C.H.E. Manning, O.B.E. - D.S.O. - V.D.; Lt. Col. F. O'Mahony, V.D. Front: Brigadier A. Martyn, C.M.G. - D.S.O.; Brig. Gen. A.J. Bessell-Brown, C.B. - C.M.G. - D.S.O., V.D.(f); Lt. Gen. Sir J. Talbot Hobbs, K.C.B. - K.C.M.G. - V.D. (f); F.M. Sir William Birdwood, Bart - G.C.B. - G.C.M.G. - K.C.S.I. - C.I.E. - D.S.O.; Major General A.T. White, C.M.G. - V.D.; Brig, Gen. E.F. Martin, C.B. - C.M.G. - D.S.O. - V.D.; Col. H.B. Collett, C.M.G. - D.S.O. - V.D.","Flintoff, Thomas,;Pope, Harold,;Nicholson, Edmund James Houghton,;Olden, Arthur Charles Niquet,;Margolin, Eliezer,;Roberts, Stephen Richard Harricks,;Wiltshire, Aubrey Roy Lidden,;Woods, James Park,;Axford, Thomas Leslie,;Fitzgerald, R.P.;Manning, Charles Henry Ernest,;O'Mahony, Frank;Martyn, A.M.;Bessell-Browne, Alfred Joseph;Hobbs, Joseph John Talbot;White, Arthur Thomas;Martin, Edward Fowell,;Collett, Herbert Brayley,;Birdwood, William Riddell,",,,"291B: L-R Back: T. Flintoff, H. Pope, E.J.H. Nicholson, A.C.N. Olden, E.I. Margolin; Middle: S.R. Roberts, A.R.L. Wiltshire, J.P. Woods, T.L. Axford, R.P. Fitzgerald, C.H.E. Manning, F. O'Mahony; Front: A. Martyn, A.J. Bessell-Brown, Sir J. Talbot Hobbs,",http://purl.slwa.wa.gov.au/slwa_b1934123_1;http://purl.slwa.wa.gov.au/slwa_b1934123_1.png
b19341660,300B,"Bartletto,",Lieut. General Sir Joseph John Talbot Hobbs KCMG.,ca. 1918.,"1 photograph, mounted :",,,"Hobbs, Joseph John Talbot",Army officers,,"300B: Lieut. General Sir Joseph John Talbot Hobbs KCMG, ca.1918",http://purl.slwa.wa.gov.au/slwa_b1934166_2;http://purl.slwa.wa.gov.au/slwa_b1934166_2.png
b19382133,616B,,Jewish service in the field for soldiers in the United Kingdom conducted by Rabbi D. I. Freedman.,1916-1918.,1 photograph :;1 photograph :,,,"Freedman, David Isaac,","Soldiers;Jewish soldiers;World War, 1914-1918",,"616B/1: Jewish service in the field for soldiers in the United Kingdom conducted by Rabbi D. I. Freedman, 1916-1918;616B/2: Jewish service in the field for soldiers in the United Kingdom conducted by Rabbi D. I. Freedman, 1916-1918",http://purl.slwa.wa.gov.au/slwa_b1938213_1;http://purl.slwa.wa.gov.au/slwa_b1938213_2;http://purl.slwa.wa.gov.au/slwa_b1938213_1.png;http://purl.slwa.wa.gov.au/slwa_b1938213_2.png
b19417020,899B,"Rustic Studio,","Peace celebrations in Hampton Road, Northampton ",1918,2 photographs :,Title supplied by donor.,,,"World War, 1914-1918;Victory celebrations","Hampton Road (Northampton, W.A.)","899B/1: Peace celebrations in Hampton Road, Northampton, 1918;899B/2: Peace celebrations in Hampton Road, Northampton, 1918",http://purl.slwa.wa.gov.au/slwa_b1941702_1;http://purl.slwa.wa.gov.au/slwa_b1941702_2;http://purl.slwa.wa.gov.au/slwa_b1941702_1.png;http://purl.slwa.wa.gov.au/slwa_b1941702_2.png
b1945434x,,,"Roll of honour, 1914-18",,53 x 43 cms.,,North Fremantle.,,"World War, 1914-1918",,North Fremantle roll of honour,http://purl.slwa.wa.gov.au/slwa_b1945434_1;http://purl.slwa.wa.gov.au/slwa_b1945434_1.png
b19507951,PR7152,"Harper, G. T.","Report by G.T. Harper from Gallipoli, May 10, 1915.",[1915],[4] p.,,"Gresley Tatlock Harper and his brother Wilfred Lukin Harper both served in the 10th Light Horse Regiment during World War I. Both were killed at Gallipoli on 7 August 1915, just a few months after this report was written. Their deaths were reported in West Australian, 23 August 1915, p. 8, and the Sunday Times on 29 August 1915, p. 35.;Also includes a note from Calder Crowther to the editor of Swan magazine.","Harper, G.T.","World War, 1914-1918",,Report from Gallipoli,http://purl.slwa.wa.gov.au/slwa_b1950795_5;http://purl.slwa.wa.gov.au/slwa_b1950795_5.png
b19517324,1651B,,"Hospital ship Kyarra at Fremantle, 9 July 1915.",1915,1 photograph :,,The Kyarra brought back wounded from Gallipoli. Sunk by enemy action in 1917.,,"Hospital ships;World War, 1914-1918",,"1651B: Hospital ship Kyarra at Fremantle, 9 July 1915",http://purl.slwa.wa.gov.au/slwa_b1951732_1;http://purl.slwa.wa.gov.au/slwa_b1951732_1.png
b19520566,1776B,,Portrait of Lieut. Hugo Throssell V.C. (10th Australian Light Horse) painted by Laurence B. Tayler.,1916,1 photograph :,"Title devised by cataloguer.;Photograph of original painting by Laurence B. Taylor (also known as Lawrence Tayler, Laurie Tayler and L.B.T.).",,"Throssell, Hugo,;Tayler, Laurence B.,",,,"1776B: Portrait of Lieut. Hugo Throssell V.C. (10th Australian Light Horse) painted by Laurence B. Tayler, 1916",http://purl.slwa.wa.gov.au/slwa_b1952056_2;http://purl.slwa.wa.gov.au/slwa_b1952056_2.png
b19533214,1832B,,"The first men to leave Bunbury for the First World War, 17 August 1914.",1914,2 copy microfilm negatives :,"Title supplied by donor.;Originals in private hands.;This event is reported in the Bunbury Herald 18 August 1914, p.1.",,,"Soldiers;World War, 1914-1918",,"1832B/1: Unidentified member of the group to leave Bunbury for the First World War, 17 August 1914;1832B/2: The first men to leave Bunbury for the First World War, 17 August 1914",http://purl.slwa.wa.gov.au/slwa_b1953321_3;http://purl.slwa.wa.gov.au/slwa_b1953321_4;http://purl.slwa.wa.gov.au/slwa_b1953321_3.png;http://purl.slwa.wa.gov.au/slwa_b1953321_4.png
b19533378,1842B,"Bartletto,",Lieutenant General Sir J. Talbot Hobbs.,"1926, 1929.",1 photograph :;1 photograph :,"Two portraits of slightly different poses. 1842B/1 autographed: J. Talbot Hobbs. M.G. [ie KCMG] 1926 and 1842B/2 authographed: J. Talbot Hobbs 20/5/1929.;1842B/2 may be viewed in Volume 48 of the photocopy volumes at the State Library of W.A., 3rd floor.",,"Hobbs, Joseph John Talbot;Hobbs, Joseph John Talbot",Army officers,,"1842B/1: Lieut General Sir John Joseph Talbot Hobbs, 1926",http://purl.slwa.wa.gov.au/slwa_b1953337_2;http://purl.slwa.wa.gov.au/slwa_b1953337_2.png
b1956093x,2002B,"Thelma Studio,","Autographed photograph of Dr James E. Fergusson Stewart, November 1914 /",1914,1 photograph ,"Title devised by cataloguer.;Thelma Studio, 113 Barrack Street, Perth.",,"Fergusson Stewart, James Edmund;Fergusson Stewart, James Edmund",Soldiers;Physicians,,"2002B: Dr James Edmund Fergusson Stewart, November 1914",http://purl.slwa.wa.gov.au/slwa_b1956093_2;http://purl.slwa.wa.gov.au/slwa_b1956093_2.png
b19599201,2371B,"Midland Junction Studio,","Instructional staff, Blackboy Hill, WAus.",approximately 1915.,1 photograph :,Caption title.,"Written on back: At extreme right of second row Sgt Major John Robert Gibb. SM J.R. Gibb died at the Base Hospital, Fremantle 26 August 1916, aged 62.","Gibb, John Robert,",Soldiers;Military training camps;Online image.,Blackboy Hill (W.A.),"2371B: Instructional staff, Blackboy Hill, Western Australia, ca. 1915",http://purl.slwa.wa.gov.au/slwa_b1959920_2;http://purl.slwa.wa.gov.au/slwa_b1959920_2.png
b19601505,2449B,,"Lt. Col. T. J. Todd,  Tenth Light Horse.",approximately 1915.,1 photograph :,"Died of disease 23 January 1919. Buried Cairo War Memorial Cemetery (Row Q, Grave No. 263), Egypt.;Title provided by donor.",,"Todd, Thomas John,",Soldiers,,"2449B: Lt. Col. Thomas John Todd, ca. 1915",http://purl.slwa.wa.gov.au/slwa_b1960150_2;http://purl.slwa.wa.gov.au/slwa_b1960150_2.png
b19611249,2507B,,"Panoramic view of Mena Camp, Egypt showing 10th Light Horse in camp before embarking for Gallipolli.",1915,"1 photograph, mounted (panorama) :",Title provided by donor.,,,"Pyramids;World War, 1914-1918;Military camps, Australian",Mena Camp (Egypt),"2507B: Mena Camp, Egypt showing 10th Light Horse in camp before embarking for Gallipolli, 1915",http://purl.slwa.wa.gov.au/slwa_b1961124_4;http://purl.slwa.wa.gov.au/slwa_b1961124_4.png
b19611845,2539B,,Arthur Nelson (front 2nd from left) with the Tenth Light Horse in Cairo.,1915,1 photograph :,Title provided by donor.,,"Nelson, Arthur,","World War, 1914-1918;Soldiers",,"2539B: Arthur Nelson (front 2nd from left) with the Tenth Light Horse in Cairo, 1915",http://purl.slwa.wa.gov.au/slwa_b1961184_2;http://purl.slwa.wa.gov.au/slwa_b1961184_2.png
b19630189,2716B,,"No.1 Section, A company of the 11th Battalion in front of the Sphinx, 10 January 1915.",1915,1 photograph :,"Title devised by cataloguer from information in Fremantle to France: 11th Battalion A.I.F. 1914-1919 by Ian Gill, p.508-510.;The official histories of 11th Battalion put all these men in B Company, not A Company as written on the photograph. On 1 January 1915 , A & B companies were amalgamated to became A company.  According to George Medcalf's diary, this photo was taken on 10 January 1915, therefore the caption on the front of the photo is correct. (see Game to the Last by James Hurst, p.27) Title written on photograph in a different hand to the names of the men written on the back.","Left to right: Back: Sgt Parry, Pte Pleydell, L/Corp Procter, Pte George, Pte Rae, Pte Albrecht, Pte Lindsey, Pte Clifton; Centre: Sgt Pugsley, Pte Bunning, Pte Whitwell, Pte George, Pte Medcalf, Pte Kite; Front: Pte Thomas and Pte Joyce.","Pleydell, Arthur Deacon;Procter, Charles Hogarth;Parry, Harold Leslie;Rae, Harvey George,;Albrecht, Frederick;Lindsey, Edward Donald;Clifton, Alvared Roe Cecil;Pugsley, Harry Ernest,;Bunning, Joseph William;Whitwell, Holden Craig;George, James Robert,;Medcalf, Ferdinand George;Kite, James;Thomas William Guy;Joyce, Joshua James","Soldiers;World War, 1914-1918",,"2716B: Left to right: Back: Sgt Parry, Pte Pleydell, L/Corp Procter, Pte George, Pte Rae, Pte Albrecht, Pte Lindsey, Pte Clifton; Centre: Sgt Pugsley, Pte Bunning, Pte Whitwell, Pte George, Pte Medcalf, Pte Kite; Front: Pte Thomas and Pte Joyce, 10 January 1915",http://purl.slwa.wa.gov.au/slwa_b1963018_2;http://purl.slwa.wa.gov.au/slwa_b1963018_2.png
b19644711,4496B;2843B,,"11th Battalion A.I.F. on the steps of the Great Pyramid of Cheops in Egypt, 10 January 1915",1915,1 photographic print :,"Group portrait of all the original officers and men of the 11th Battalion, 3rd Brigade AIF on the Great Pyramid of Cheops. Officers identified in the first row are, left to right: 2nd Lt F P Strickland; 2nd Lt J Newman; Maj S R Roberts; Lt J H Morgan; Capt J S Denton; Capt A E J Croly; Capt Charles A Barnes; Lt K McLennan; Padre Fahey; Lt (later Capt) A P H Corley (KIA 17 Sept. 1915); Lt (Later Capt) C A La Nauze (KIA 28 June 1915); Capt J H  Peck; Capt W R Annear; Capt R R Reilly; 2nd Lt M L Reid; Lt D H MacDonald; Lt Col J L Johnston; Capt R W Everett; Maj E A Drake-Brockman; Capt E T Brennan; Capt R L Leane; 2nd Lt A H Darnell; 2nd Lt A H Priestley; Lt W H Rockliff; 2nd Lt J H Cooke (KIA 10 Apr. 1916); 2nd Lt H James; 2nd Lt C F Buttle; 2nd Lt H H Walker (sitting); Lt J Williams (top). Photograph is dated from Capt Barnes' diary which records the event [information from Australian War Memorial catalogue];The man at centre top of the pyramid has been identified as David Simcock (known as Pink Top) died at Gallipoli 2 May 1915.;Sitting to the right of David Simcock is Private William Murray. (Information supplied by family member who notes that somewhere in this photograph is another family member Pte Charles Herbert Jones 2816 KIA in France 3 July 1916);Charles Canning Gallaher (left) and  Douglas Wallace Gallaher (right), each with right hand raised are in the centre at the feet of the drummer near the top of the group of men. (Identified by a copy held by family marked by Douglas Gallaher: 'Eleventh Battalion WA at the base of a pyramid  Douglas wrote on the photograph. ""Taken before we left for the front, can see me marked with a cross and Charles along side, very few of the Batt left now."" He was wounded at Gallipoli 4 May 1915 and killed in France 3 June 1916. Charles was wounded at Gallipoli and repatriated home - the only one of four Gallaher brothers to return);Information on the back of the image owned by the Battye Library indicates that this is a photograph of the 28th Battalion, however it has been proved to be a photograph of the 11th Battalion AIF.;This image was received in two collections.",,"Gallaher, Charles Canning;Gallaher, Douglas Wallace,;Strickland, Frederick Phillip;Newman, John,;Roberts, Stephen Richard Harricks,;Morgan, James Harold;Denton, James Samuel,;Croly, Arthur England Johnson,;Barnes, Charles Albert,;McLennan, Kenneth,;Fahey, John,;Corley, Anthony Purden Hagarty,;La Nauze, Charles Andrew,;Peck, John Henry,;Annear, William Richard,;Reilly, R.R.;Reid, Mordaunt Leslie,;MacDonald, David Henderson,;Johnston, James Lyon,;Everett, Reginald William;Drake-Brockman, Edmund Alfred,;Brennan, Edward Thomas,;Leane, Raymond Lionel,;Darnell, Aubrey Hugh,;Priestley, A.H.;Rockliff, William Hundson,;Cooke, Joseph Henry;Herbert, James,;Buttle, Clement Francis;Walker, Harold Holmes;Williams, J.;Simcock, David,;Murray, William",Soldiers,,"4496B: 11th Battalion A.I.F. on the steps of the Great Pyramid in Egypt, 10 January 1915",http://purl.slwa.wa.gov.au/slwa_b1964471_2;http://purl.slwa.wa.gov.au/slwa_b1964471_2.png
b19645570,2884B,,John Simpson Kirkpatrick at Gallipoli leading his donkey which carries a wounded soldier,1915,1 photographic print on mount :,"Alongside the photograph is explanatory text entitled ""Saving the wounded. Trudged daily into death's valley. Tribute to a West Australian"".",Item has been copied from the original by Dease Studios.,"Kirkpatrick, John Simpson,","World War, 1914-1918;Donkeys",,"2884B: John Simpson Kirkpatrick at Gallipoli leading his donkey which carries a wounded soldier, 1915",http://purl.slwa.wa.gov.au/slwa_b1964557_2;http://purl.slwa.wa.gov.au/slwa_b1964557_2.png
b1967305x,3058B,Acaris.,"Red Cross Procession through St George's Terrace, 1918.",1918,1 photograph :,"Title supplied by donor.;Acaris, 14 Ada Street, Waterman's Bay.",Raising money for the Red Cross work in the First World War.,,Processions,,"3058B: Red Cross Procession through St George's Terrace, 1918",http://purl.slwa.wa.gov.au/slwa_b1967305_1;http://purl.slwa.wa.gov.au/slwa_b1967305_1.png
b19673814,3097B,,Claude Nicholas in uniform.,1916?,1 photograph :,,,"Nicholas, Claude,",Soldiers;Online image.,,"3097B: Lance Corporal Claude Nicholas, 1916?",http://purl.slwa.wa.gov.au/slwa_b1967381_1;http://purl.slwa.wa.gov.au/slwa_b1967381_1.png
b19797059,4068B,,"Officers and contract surveyors of the Department of Lands and Surveys who served their country during the World War, 1914-1919 and whose names are inscribed on the Honour Board",1914-1919.,3 albums (75 photographic prints) :,Title from album title page.,,,Soldiers,,"4068B/1: Album 1. Officers and contract surveyors of the Department of Lands and Surveys who served their country during the World War, 1914-1919 and whose names are inscribed on the Honour Board;4068B/2: Album 2. Officers and contract surveyors of the Department of Lands and Surveys who served their country during the World War, 1914-1919 and whose names are inscribed on the Honour Board;4068B/3: Album 3. Officers and contract surveyors of the Department of Lands and Surveys who served their country during the World War, 1914-1919 and whose names are inscribed on the Honour Board",http://purl.slwa.wa.gov.au/slwa_b1979705_103;http://purl.slwa.wa.gov.au/slwa_b1979705_104;http://purl.slwa.wa.gov.au/slwa_b1979705_105;http://purl.slwa.wa.gov.au/slwa_b1979705_103.png;http://purl.slwa.wa.gov.au/slwa_b1979705_104.png;http://purl.slwa.wa.gov.au/slwa_b1979705_105.png
b19797722,4083B,,Snapshots from a Western Australian in the First World War.,1914-1915.,1 album (83 photographic prints) :,Title devised by cataloguer.;The captions are very difficult to read with both T and G often looking like S.,"This album contains photographs relating to WWI in Western Australia, Gallipoli and Egypt. First names have been used in captions so that the men have not been identified. One man named as Capt Brennan may be Captain Denis Aloyisius Brennan of the 28th Battalion. Scattered throughout the album are snapshots labelled Anatarta Bay and Gaba Tepe and dated 25-26 April 1915, these relate to Gallipoli. There are also photographs of: presentation of colours to the 10th Light Horse, 1915, 10th Light Horse at Rockingham, 1915; 9th Reinforcement of the 10th Light Horse; bivouac of the 11th Battalion in Egypt; 11th Battalion on parade; 28th Battalion march in St George's Terrace; officers of the 28th Battalion; 4th Field Ambulance; Blackboy Hill; the Ajana troopship leaving Sydney 18 December 1914; Engineers leaving on the Katoomba 2 October 1915.",,"World War, 1914-1918;World War, 1914-1918;Soldiers",,"4083B: Album of snapshots from a Western Australian in WWI, 1914-1915",http://purl.slwa.wa.gov.au/slwa_b1979772_33;http://purl.slwa.wa.gov.au/slwa_b1979772_33.png
b19799664,4605B/2;2506B/1,"Sands, A. G.,","Departure of the first detachment of the Australian and New Zealand Imperial Expeditionary Forces from King George's Sound, Albany, W.A., Sunday, 1st November, 1914.",1914,2 photographs (panoramas) :,"Caption title from label on back of panorama at 4605B/2.;This panorma has been received in two donations accessioned at 4605B/2 and 2506B/1 (copies of both attached to this record);A mounted copy of this panorama is available in this catalogue at call no. BA379.;Written on lower left of photograph: Copyright by A.G. Sands. Albany. WA.;Written on lower right of photograph: Copyright. 1914. A.G. Sands. Photo. Albany. WA.;The panorama appears under the title 'Departure of the transports. Picture taken from Breaksea, looking west. Ships can be seen disappearing in the distance' in: The Australian and New Zealand expeditionary forces : assemblage at and departure from Albany / photographs by W.H. Campbell and A.G. Sands, 940.409 AUS (monograph)","Listed on label on back of panorama at 4605B/2: AUSTRALIAN TRANSPORTS. A1 ""Hymettus"" - A2 ""Geelong"" - A3 ""Orvieto"" - A4 ""Pera"" - A5 ""Omrah"" - A6 ""Clan McCorquodale"" - A7 ""Medic"" - A8 ""Argyllshire"" - A9 ""Shropshire"" - A10 ""Karroo"" - A11 ""Ascanius"" - A12 ""Saldana"" - A13 ""Katuna"" - A14 ""Euripides"" - A15 ""Star of England"" - A16 ""Star of Victoria"" - A17 ""Port Lincoln"" - A18 ""Wiltshire"" - A19 ""Afric"" - A20 ""Hororata"" - A21 ""Marere"" - A22 ""Rangatira"" - A23 ""Suffolk"" - A24 ""Benalla"" - A25 ""Anglo Egyptian"" - A26 ""Armadale"" - A27 ""Southern"" - A28 ""Miltiades"" - NEW ZEALAND TRANSPORTS. H.M.N.Z.T. 3 ""Maungaunui"" - H.M.N.Z.T. 4 ""Tahiti"" - H.M.N.Z.T. 5  ""Ruapehu"" - H.M.N.Z.T. 6 ""Orari"" - H.M.N.Z.T. 7 ""Limerick"" - H.M.N.Z.T. 8 ""Star of India"" - H.M.N.Z.T. 9 ""Hawks Bay"" - H.M.N.Z.T. 10 ""Arawa"" - H.M.N.Z.T. 11 ""Athenic"" - H.M.N.Z.T. 12 ""Waimate"" - WARSHIPS. H.M.S. ""Minotaur"" - H.M.A.S. ""Sydney"" - H.M.A.S. ""Melbourne"".",,"World War, 1914-1918;Transports",Princess Royal Harbour (W.A.),"4605B/2: Departure of the first detachment of the Australian and New Zealand Imperial Expeditionary Forces from King George's Sound, Albany WA: Picture taken from Breaksea looking west; Sunday 1 November 1914  (A.G. Sands);4605B/2 (back): Departure of the first detachment of the Australian and New Zealand Imperial Expeditionary Forces from King George's Sound, Albany WA: Picture taken from Breaksea looking west; Sunday 1 November 1914  (A.G. Sands);2506B/1: Departure of the first detachment of the Australian and New Zealand Imperial Expeditionary Forces from King George's Sound, Albany, W.A., Sunday, 1st November, 1914",http://purl.slwa.wa.gov.au/slwa_b1979966_7;http://purl.slwa.wa.gov.au/slwa_b1979966_6;http://purl.slwa.wa.gov.au/slwa_b1979966_8;http://purl.slwa.wa.gov.au/slwa_b1979966_7.png;http://purl.slwa.wa.gov.au/slwa_b1979966_6.png;http://purl.slwa.wa.gov.au/slwa_b1979966_8.png
