Creator,Title,Edition,Publication details,Physical description,Notes,Contents,Summary,Subject - Personal name,Subject - Corporate name,Subject - Topical,Subject - geographic,Subject - Form/Genre,Subject - Uniform title,Other creator,ISBN,Series,Other formats,URL
"McClymer, John F. ","War and welfare :social engineering in America, 1890-1925 /John F. McClymer",,"Westport, Conn. :Greenwood Press,c1980","xvi, 248 p. ;22 cm",Includes index.,,,,,"Social service--United States--History ; --Reconstruction (1914-1939)--United States ; --Public welfare--United States--History ; --World War, 1914-1918--United States",United States--History--20th century,,,,313211299,"Contributions in American history,ISSN 0084-9219 ;no. 84",,
"Breen, William J.","Uncle Sam at home :civilian mobilization, wartime federalism, and the Council of National Defense, 1917-1919 /William J. Breen",,"Westport, Conn :Greenwood Press,1984","xvii, 279 p. :ill ;25 cm.",Includes index.,,,,United States.--Council of National Defense,"World War, 1914-1918--United States ; --Federal government--United States--History--20th century",United States--History--1913-1921,,,,0313241120 (lib. bdg),"Contributions in American studies,0084-9227 ;no. 70",,
"Lafore, Laurence ",The long fuse :an interpretation of the origins of World War I /<With bibl. notes.>,,"London :Weidenfeld and Nicolson,1966", :Maps ;19 1/2 cm.,,,,,,"World War, 1914-1918--Causes",,,,,,Critical periods of history,,
"Summers, Kevin,author. ",Patient 12 /Kevin Summers.,,"Strawberry Hills, N.S.W. :Currency Press,2014. ; ©2014",36 pages ;21 cm.,,,,,,"Australian drama--21st century. ; --Military hospitals--Victoria--Melbourne--Drama. ; --World War, 1914-1918--Drama.",Australia--History--1901-1922--Drama.,,,,9781925005103 (paperback),Current theatre series,,
 ,"Gallipoli and the Dardanelles, 1915-1916 /introduced and compiled by John Grehan and Martin Mace ; with additional research by Sara Mitchell.",,"Barnsley, South Yorkshire :Pen & Sword Military,2014. ; ©2014","xviii, 182 pages, 16 unnumbered pages of plates :illustrations (black and white), 1 map (black and white), portraits ;24 cm.",Includes index.,,,,,"World War, 1914-1918--Campaigns--Turkey--Gallipoli Peninsula. ; --World War, 1914-1918--Naval operations, British.",,,,"Grehan, John,compiler. ; Mace, Martin,compiler. ; Mitchell, Sara(Military history researcher),compiler.",9781781593448 (hardback),Despatches from the front: the commanding officers' reports from the field and at sea,,
 ,"Gallipoli and the Dardanelles, 1915-1916 /introduced and compiled by John Grehan and Martin Mace ; with additional research by Sara Mitchell.",,"Barnsley, South Yorkshire :Pen & Sword Military,2014. ; ©2014","xviii, 182 pages, 16 unnumbered pages of plates :illustrations (black and white), 1 map (black and white), portraits ;24 cm.",Includes index.,,,,,"World War, 1914-1918--Campaigns--Turkey--Gallipoli Peninsula. ; --World War, 1914-1918--Naval operations, British.",,,,"Grehan, John,compiler. ; Mace, Martin,compiler. ; Mitchell, Sara(Military history researcher),compiler.",9781781593448 (hardback),Despatches from the front: the commanding officers' reports from the field and at sea,,
"King, Jere Clemens ",The First World War /edited by Jere Clemens King,,"London :Macmillan,1972","xlviii, 350 p. :1 ill., maps ;24cm","Also published, New York; London: Harper and Row, 1972.",,,,,"World War, 1914-1918--Sources",,,,,333067274,Documentary history of Western civilization,,
"Watt, Peter,1949- ",To ride the wind /Peter Watt.,,"Sydney :Macmillan,2011.",400 p. :geneal. table ;20 cm.,,,"In 1916, the Duffys and Macintoshes are entangled in the horrors of World War I. From the deserts of the Middle East to the trenches of Europe, the hand of death is always present. But even those left behind are not safe, for the most dangerous of enemies is not the Germans or the Turks, but someone much closer to home.",,,"Soldiers--Fiction. ; --World War, 1914-1918--Fiction. ; --Australian fiction--21st century. ; --Authors, Australian--Queensland.",,Historical fiction--gsafd,,,9780330404150 (pbk.) ; 0330404156 (pbk.),Duffy and Macintosh series ;6,,
 ,The Anzacs songbook /compiled by Ted Egan,,"Richmond, Vic. :Greenhouse,1986","95 p. :ill., facsims, maps, music, ports. ;27 cm.",Cover title: Ted Egan presents The Anzacs songbook . ; Spine title: The Anzacs .,,,,Australia.--Army.--Australian and New Zealand Army Corps ; --New Zealand.--Army.--Australian and New Zealand Army Corps,"War songs--Australia ; --World War, 1914-1918--Campaigns--Eastern Front",,,,"Egan, Ted,1932-",0909104999 (pbk),Faces of Australia series,,
"Woodhouse, Jack ","The war in the air, 1914-1918 /<by> Jack Woodhouse and G. A. Embleton",,"London :Almark Publishing,1974","95 p. :ill. (some col.), ports ;16 x 21 cm.",,,,,,"Airplanes, Military--History ; --World War, 1914-1918--Aerial operations",,,,"Embleton, G. A.(Gerry A.),1941-,joint author",0855241799 ; 0855241780 (pbk.),Focus on history,,
 ,"The United States in the First World War :an encyclopedia /editor, Anne Cipriano Venzon ; consulting editor, Paul L. Miles",,"New York ;London :Garland Publishing,1995","xx, 830 p. :map ;26 cm.",,Includes bibliographical references and index.,,,,"World War, 1914-1918--Encyclopedias",,,,"Miles, Paul L. ; Venzon, Anne Cipriano,1951-",824070550,Garland reference library of the humanities ;vol. 1205.Military history of the United States ;v. 3,,
"Falls, Cyril Bentham,1888-1971 ",Armageddon 1918,,"London :Weidenfell and Nicolson,1964",":illus., port., maps , ;22 cm.",,,,,,"World War, 1914-1918--Campaigns--Palestine",,,,,,Great battles of history series,,
Australian War Memorial ,"A guide to the personal, family and official papers of C.E.W. Bean /Michael Piggott",,"Canberra :Australian War Memorial,1983",138 p. :port. ;21cm.,,Includes index.,,"Bean, C. E. W.--(Charles Edwin Woodrow),--1879-1968--Catalogs",Australian War Memorial,"World War, 1914-1918--Journalists--Bibliography--Catalogs",,,,"Piggott, Michael,1948-",642994382,Guides to collections / Australian War Memorial,,
"Bourne, Randolph Silliman,1886-1918 ","War and the intellectuals :essays, 1915-1919 /Ed. with an introd. by C. Resek ; <With bibl. notes.>",,"N.Y. :Harper & Row,1964", ;20 1/2 cm.,,,,,,"World War, 1914-1918 ; --War and society",United States--Intellectual life,,,"Resek, Carl Peter",,Harper torchbooks. University Library. American perspectives,,
"Thoumin, Richard Lodois ",The First World War /Ed. and tr. <from the French> by M. Kieffer ; <With bibl. and chron.>,,"Lond. :Secker & Warburg,1963", :Maps ;21 1/2 cm.,,,,,,"World War, 1914-1918",,,,"Kieffer, Martin",,History in the making series,,
"Bruntz, George G. ",Allied propaganda and the collapse of the German Empire in 1918 /by George G. Bruntz,,"New York :Arno Press,1972 <c1938>","xiii, 246 p. :illus ;23 cm.",Original ed. issued as no. 13 of the Hoover War Library publications.,,,,,"World War, 1914-1918--Propaganda ; --World War, 1914-1918--Germany",,,,,040504741X,Hoover Institution publications ;13,,
"Bunyan, James ","The Bolshevik Revolution, 1917-1918 :documents and materials /by J. Bunyan and H. H. Fisher ; <With bibl. notes and chron.>",,"Stanford, Calif. :Stanford Univ. Pr.,1961", ;22 cm.,<First published 1934.>,,,,,"World War, 1914-1918--Sources","Soviet Union--History--Revolution, 1917-1921--Sources",,,"Fisher, Harold Henry",,Hoover war library publications ;no. 3,,
 ,Germany's claim to colonies,,"London :Royal Institute of International Affairs,1938",75 p. :map ;23 cm.,,,,,,"World War, 1914-1918--Territorial questions--Germany ; --Mandates--Germany",Germany--Colonies ; --Europe--Politics and government--1918-1945,,,Royal Institute of International Affairs.Information Dept.,,Information Department papers ;no. 23,,
"Sheftall, Mark David,1968- ","Altered memories of the Great War :divergent narratives of Britain, Australia, New Zealand and Canada /Mark David Sheftall.",,"London :I. B. Tauris,2009.",229 p. ;24 cm.,,,,,,"World War, 1914-1918--Personal narratives, British. ; --World War, 1914-1918--Personal narratives, Australian. ; --World War, 1914-1918--Personal narratives, New Zealand. ; --World War, 1914-1918--Personal narratives, Canadian. ; --Soldiers--Great Britain--Attitudes--History--20th century. ; --Soldiers--Australia--Attitudes--History--20th century. ; --Soldiers--New Zealand--Attitudes--History--20th century. ; --Soldiers--Canada--History--20th century.",,,,,9781845118839 (hbk.) ; 1845118839 (hbk.),International library of war studies ;14,,
 ,World War I Irish soldiers[electronic resource] :their final testament /compiled and edited by Kiara Gregory.,,"Dublin :Eneclann,c2008.",1 CD-ROM ;4 3/4 in.,"""An index to the wills of Irish Soldiers who died 1914-1918""--disc container.",,,,Great Britain.--Army--Irish regiments--History.,"World War, 1914-1918--Ireland. ; --Soldiers--Ireland. ; --Wills--Ireland--Indexes",Ireland--Genealogy--Indexes.,,,"Gregory, Kiara.",9.78E+12,Irish records index ;v. 6,,
"Nickels, Sylvie ","Assassination at Sarajevo, the event which sparked off the First World War :a collection of contemporary documents and explanatory broadsheets /With bibl.",,"London :Jackdaw Publications,<1966.>",":Illus., facsims., map, ports. ;34 1/2 cm.",,,,"Franz Ferdinand,--Archduke of Austria,--1863-1914",,"World War, 1914-1918--Causes",Sarajevo (Bosnia and Herzegovina) ; --Austria--History,,,,,Jackdaw ;no. 37,,
"McClelland, James ","1914-1918 Australian and New Zealand soldiers killed in action and buried in Messines Ridge British cemetery, Belgium and Neuve-Eglise Churchyard, Belgium and 1939-1945 names of Royal Australian Air Force men shot down over Germany and buried in the Reichwald Forest War cemetery, Germany",,"Silverdale, N.S.W :James McClelland Research,1994",39 p. :maps ;31 cm.,Cover title.,,,,Australia.--Royal Australian Air Force--Registers of dead,"World War, 1939-1945--Registers of dead--Germany ; --World War, 1939-1945--Registers of dead--Australia ; --World War, 1914-1918--Registers of dead--New Zealand ; --World War, 1914-1918--Registers of dead--Australia ; --World War, 1914-1918--Registers of dead--Belgium",Australia--Armed Forces--Registers of dead ; --New Zealand--Armed Forces--Registers of dead ; --Messines Ridge British Cemetery (Belgium) ; --Reichwald Forest War Cemetery (Germany),,,James McClelland Research,1875552227,James McClelland's recording the past for the future - reference books ;bk. no. 107,,
"McClelland, James ",Names and particulars of all Australians killed in action during the Gallipoli landing and campaign 1915 and who have no known grave /James McClelland,,"Silverdale, N.S.W :James McClelland Research,1990",118 leaves ;30 cm.,"'First compiled by British Commonwealth War Graves Commission - 1925'. ; Cover title. ; Variant title on some issues: Names and particulars of all Australian soldiers killed in action during the Gallipoli campaign 1915, and whom have no known grave.",,,,,"World War, 1914-1918--Registers of dead--Turkey--Gallipoli Peninsula ; --World War, 1914-1918--Campaigns--Turkey--Gallipoli Peninsula",Australia--Armed Forces--Registers of dead,,,James McClelland Research,908492901,James McClelland's recording the past for the future -- reference books ;bk. no. 83,,
"McClelland, James ",Names and particulars of all Australian and New Zealand soldiers killed in action on Gallipoli 1915 whom have a known recorded grave /James McClelland,,"Silverdale, N.S.W :James McClelland Research,1990",140 leaves :1 map ;30 cm.,Cover title.,,,,,"World War, 1914-1918--Registers of dead--Turkey--Gallipoli Peninsula ; --World War, 1914-1918--Campaigns--Turkey--Gallipoli Peninsula",Australia--Armed Forces--Registers of dead ; --New Zealand--Armed Forces--Registers of dead,,,James McClelland Research,908492936,James McClelland's recording the past for the future -- reference books ;bk. no. 84,,
"McClelland, James ","Names and particulars of all Australian soldiers killed in action in France 1914-1918 and who are buried in Pozieres British Cemetery, Ovillers La Boisselle, France ; Heath Cemetery, Harbonnieres, France and Queant Road Cemetery, Buissy Cagnicourt, France /<compiled by James McClelland>",,"Silverdale, N.S.W :James McClelland Research,<1991?>",102 leaves in various foliations ;30 cm.,Cover title. ; 1991-1235-5.,,,,"Pozieres British Cemetery (Ovillers-La-Boisselle, France) ; --Heath Cemetery (Harbonnières, France) ; --Quéant Road Cemetery (Buissy, France)","World War, 1914-1918--Registers of dead--France",Australia--Armed Forces--Registers of dead,,,James McClelland Research,187555209X,James McClelland's recording the past for the future - reference books ;bk. no. 95,,
"McClelland, James ","Names and particulars of all Australian soldiers (approx. 11,000) killed in action in France and Belgium 1914-1918, and who have no known grave /<compiled by James McClelland>",,"Silverdale, N.S.W :James McClelland Research,1991",2 v. (274 leaves) ;30 cm.,Cover title.,<1>. A-L -- <2>. Mc-Z.,,,,"World War, 1914-1918--Registers of dead--France ; --World War, 1914-1918--Registers of dead--Belgium",Australia--Armed Forces--Registers of dead,,,James McClelland Research,1875552073,"James McClelland's recording the past for the future, reference books ;bk. no. 93",,
"Ellis, Alec ",Public libraries and the First World War /by Alec Ellis,,"Upton :Ffynnon Press,1975",75 p. ;22 cm.,,,,,,"Public libraries--England--History ; --Public libraries--Wales--History ; --World War, 1914-1918--Great Britain",,,,,902158104,Library history series ;1,,
"Loveday, A. G. F. E(Austen George Francis Eliott) ","Eric's diary :a Queensland soldier's all too brief service in World War I /A.G.F.E. (""Larry"") Loveday ; transcribed & edited by his nephew Austen Loveday.",,"Scarborough, Qld. :A.G.F.E. Loveday,2012.","48 p. :ill., maps, ports ;21 cm.",,,,"Loveday, Eric Lethieullier.",Australia.--Army.--Australian Imperial Force (1914-1921)--Biography.,"Somme, 1st Battle of the, France, 1916--Personal narratives, Australian. ; --World War, 1914-1918--Campaigns--France--Biography. ; --Soldiers--Queensland--Diaries.",,,,,9780987377708 (pbk.),Loveday family papers ;Vol. 2,,
